Run,age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,condition,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,intentional_duplicate (run),LibraryLayout,LibrarySelection,LibrarySource,Organ,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain
SRR11256295,8 to 12 weeks,RNA-Seq,51,1020265710,PRJNA556004,SAMN14322580,475356968,GP38posCD31neg,GEO,steady_state,public,"bam,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX7866354,GSM4395847,Illumina HiSeq 4000,,SINGLE,cDNA,TRANSCRIPTOMIC,Brain,Mus musculus,ILLUMINA,2020-06-30T00:00:00Z,2020-03-06T18:12:00Z,1,GSM4395847,Murine structural cells,SRP215937,C57BL/6J
SRR11256296,8 to 12 weeks,RNA-Seq,51,763649418,PRJNA556004,SAMN14322579,342858036,GP38posCD31neg,GEO,steady_state,public,"bam,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX7866515,GSM4395848,Illumina HiSeq 4000,,SINGLE,cDNA,TRANSCRIPTOMIC,Brain,Mus musculus,ILLUMINA,2020-06-30T00:00:00Z,2020-03-06T18:10:00Z,1,GSM4395848,Murine structural cells,SRP215937,C57BL/6J
SRR11256297,8 to 12 weeks,RNA-Seq,51,968563695,PRJNA556004,SAMN14322578,444516853,GP38posCD31neg,GEO,steady_state,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX7866516,GSM4395849,Illumina HiSeq 4000,,SINGLE,cDNA,TRANSCRIPTOMIC,Brain,Mus musculus,ILLUMINA,2020-06-30T00:00:00Z,2020-03-06T18:14:00Z,1,GSM4395849,Murine structural cells,SRP215937,C57BL/6J
SRR11256330,8 to 12 weeks,RNA-Seq,51,931922643,PRJNA556004,SAMN14322532,414323821,GP38posCD31neg,GEO,steady_state,public,"bam,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX7866357,GSM4395882,Illumina HiSeq 4000,,SINGLE,cDNA,TRANSCRIPTOMIC,Heart,Mus musculus,ILLUMINA,2020-06-30T00:00:00Z,2020-03-06T18:12:00Z,1,GSM4395882,Murine structural cells,SRP215937,C57BL/6J
SRR11256331,8 to 12 weeks,RNA-Seq,51,1062629676,PRJNA556004,SAMN14322531,489389601,GP38posCD31neg,GEO,steady_state,public,"run.zq,bam,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX7866358,GSM4395883,Illumina HiSeq 4000,,SINGLE,cDNA,TRANSCRIPTOMIC,Heart,Mus musculus,ILLUMINA,2020-06-30T00:00:00Z,2020-03-06T18:13:00Z,1,GSM4395883,Murine structural cells,SRP215937,C57BL/6J
SRR11256332,8 to 12 weeks,RNA-Seq,51,1140304155,PRJNA556004,SAMN14322530,521442966,GP38posCD31neg,GEO,steady_state,public,"run.zq,sra,bam","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX7866359,GSM4395884,Illumina HiSeq 4000,,SINGLE,cDNA,TRANSCRIPTOMIC,Heart,Mus musculus,ILLUMINA,2020-06-30T00:00:00Z,2020-03-06T18:14:00Z,1,GSM4395884,Murine structural cells,SRP215937,C57BL/6J
SRR11256347,8 to 12 weeks,RNA-Seq,61,1888514067,PRJNA556004,SAMN14322634,730640727,GP38posCD31neg,GEO,steady_state,public,"sra,bam,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX7866374,GSM4395899,Illumina HiSeq 4000,,SINGLE,cDNA,TRANSCRIPTOMIC,Kidney,Mus musculus,ILLUMINA,2020-06-30T00:00:00Z,2020-03-06T18:16:00Z,1,GSM4395899,Murine structural cells,SRP215937,C57BL/6J
SRR11256348,8 to 12 weeks,RNA-Seq,51,717496713,PRJNA556004,SAMN14322633,323671226,GP38posCD31neg,GEO,steady_state,public,"sra,run.zq,bam","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX7866375,GSM4395900,Illumina HiSeq 4000,,SINGLE,cDNA,TRANSCRIPTOMIC,Kidney,Mus musculus,ILLUMINA,2020-06-30T00:00:00Z,2020-03-06T18:13:00Z,1,GSM4395900,Murine structural cells,SRP215937,C57BL/6J
SRR11256349,8 to 12 weeks,RNA-Seq,51,1163978508,PRJNA556004,SAMN14322632,540742990,GP38posCD31neg,GEO,steady_state,public,"bam,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX7866376,GSM4395901,Illumina HiSeq 4000,,SINGLE,cDNA,TRANSCRIPTOMIC,Kidney,Mus musculus,ILLUMINA,2020-06-30T00:00:00Z,2020-03-06T18:16:00Z,1,GSM4395901,Murine structural cells,SRP215937,C57BL/6J
SRR11256364,8 to 12 weeks,RNA-Seq,51,1045157637,PRJNA556004,SAMN14322706,428353608,GP38posCD31neg,GEO,steady_state,public,"bam,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX7866391,GSM4395916,Illumina HiSeq 4000,,SINGLE,cDNA,TRANSCRIPTOMIC,LargeIntestine,Mus musculus,ILLUMINA,2020-06-30T00:00:00Z,2020-03-06T18:21:00Z,1,GSM4395916,Murine structural cells,SRP215937,C57BL/6J
