Gene Symbol,Group,Type
Camp,Animicrobial peptides,Receptor
Defa3,Animicrobial peptides,Receptor
Defa4,Animicrobial peptides,Receptor
Defa5,Animicrobial peptides,Receptor
Defa6,Animicrobial peptides,Receptor
Defb1,Animicrobial peptides,Receptor
Defb2,Animicrobial peptides,Receptor
Defb3,Animicrobial peptides,Receptor
Defb4,Animicrobial peptides,Receptor
Defb5,Animicrobial peptides,Receptor
Defb6,Animicrobial peptides,Receptor
Defb7,Animicrobial peptides,Receptor
Defb8,Animicrobial peptides,Receptor
Defb9,Animicrobial peptides,Receptor
Defb10,Animicrobial peptides,Receptor
Defb11,Animicrobial peptides,Receptor
Defb12,Animicrobial peptides,Receptor
Defb13,Animicrobial peptides,Receptor
Defb14,Animicrobial peptides,Receptor
Defb15,Animicrobial peptides,Receptor
Defb18,Animicrobial peptides,Receptor
Defb19,Animicrobial peptides,Receptor
Defb20,Animicrobial peptides,Receptor
Defb21,Animicrobial peptides,Receptor
Defb22,Animicrobial peptides,Receptor
Defb23,Animicrobial peptides,Receptor
Defb25,Animicrobial peptides,Receptor
Defb26,Animicrobial peptides,Receptor
Defb28,Animicrobial peptides,Receptor
Defb29,Animicrobial peptides,Receptor
Defb30,Animicrobial peptides,Receptor
Defb33,Animicrobial peptides,Receptor
Defb34,Animicrobial peptides,Receptor
Defb35,Animicrobial peptides,Receptor
Defb36,Animicrobial peptides,Receptor
Defb37,Animicrobial peptides,Receptor
Defb38,Animicrobial peptides,Receptor
Defb39,Animicrobial peptides,Receptor
Defb40,Animicrobial peptides,Receptor
Defb41,Animicrobial peptides,Receptor
Defb42,Animicrobial peptides,Receptor
Defb43,Animicrobial peptides,Receptor
Defb45,Animicrobial peptides,Receptor
Defb46,Animicrobial peptides,Receptor
Defb47,Animicrobial peptides,Receptor
Defb48,Animicrobial peptides,Receptor
Defb50,Animicrobial peptides,Receptor
Mrc1,C-type lectine receptors,Receptor
Mrc2,C-type lectine receptors,Receptor
Clec10a,C-type lectine receptors,Receptor
Cd209a,C-type lectine receptors,Receptor
